building_id,building_name,postal_code,Population By FSA,EV Population By FSA,num_units,floors,unit_sqft,Average Household size per fsa,num_residents,ev_adoption_rate,Predicted EV Owners Per Building,Parking,Notes
1,25 The Esplanade,M5E 1W5,11779,176,571,31,340-1387,1.62,925,0.0149,12.915,~300 Underground,Unknown
2,WaterWorks Condos,M5V 0P4,59912,847,290,13,400-2398,1.612,467,0.0141,6.505,75 underground,Unknown
3,The Residences at The Well,M5V 0V4,59912,847,356,18,509-3259,1.612,574,0.0141,8.52,0,Privatly owned 4 level parking structure
4,One Bloor West,M4W 1A3,15296,624,416,85,1352- 6137,1.895,788,0.0408,33.305,312 Underground,Unknown
5,Leaside Towers,M4H 1L5,18698,82,989,44,600-2431,3.085,3051,0.0044,12.79,NOT PUBLIC,2 Towers 989 units total
6,Massey Tower,M5B 0C1,17422,145,699,60,377-1085,1.652,1155,0.0083,10.38,148,Unknown
7,The Park Mansion,L5R 3K4,37022,799,357,35,628-3242,2.917,1041,0.0216,25.405,NOT PUBLIC,"Has parking but number of spots is unkown, EV chargers can be installed for a fee"
8,Imperial Plaza,M4V 1N5,19273,518,399,23,510-5001,1.891,755,0.0269,22.75,NOT PUBLIC,Unknown
9,Keystone Condos,L5A 0B2,47406,402,406,23,601-1117,2.614,1061,0.0085,10.555,409,Unknown
10,Harbourwalk Condos,L5E 1E9,12972,266,863,19,489-1786,2.441,2106,0.0205,34.855,NOT PUBLIC,Unknown
11,River Mill Condominiums,N1H 0B5,42178,658,141,18,781-2020,2.337,330,0.0156,4.765,NOT PUBLIC,Unknown
12,RiverHouse Condominiums,N1H 7P5,42178,658,130,18,918-3455,2.337,304,0.0156,4.33,NOT PUBLIC,Unknown
13,Watson Park Apartments,N1E 0S4,44799,741,133,7,659-1072,2.559,340,0.0165,5.68,"52 Underground, 108 Above",Unknown
14,The Royal Flats,N1H 4G2,42178,658,76,12,868-2203,2.337,178,0.0156,3.565,NOT PUBLIC,Has EV parking spots for additional fees
15,The Grand Trios,N1E 0V1,44799,741,400,11,635-1428,2.559,1024,0.0165,15.71,NOT PUBLIC,"3 Buildings, 4 EV chargers on site"
16,Expo II,L4K 1W3,20172,1059,351,36,692-1250,2.598,912,0.0525,42.355,Unknown,Unknown
17,100 Garment St tower 1,N2G 0C8,14580,261,171,19,600-999,1.869,320,0.0179,5.6,Unknown,Unknown
18,104 Garment St tower 2,N2G 0C8,14580,261,179,21,600-999,1.869,335,0.0179,6.175,Unknown,Unknown
19,108 Garment St tower 3,N2G 0C8,14580,261,319,27,519-1137,1.869,596,0.0179,10.375,Unknown,Unknown
20,DTK Condos,N2H 0C7,22456,409,494,39,400-690,2.083,1029,0.0182,17.055,230,Unknown
21,The Millway, L4K 0L2,20172,1059,458,41,618-900,2.598,1190,0.0525,52.27,Unknown,Unknown
22,2221 Yonge Condos,M4S 0B8,30754,770,604,58,423-1754,1.956,1182,0.025,28.185,Unknown,Unknown
23,YC Condos,M4Y 0E9,36319,288,639,61,351-1515,1.598,1021,0.0079,8.695,Unknown,Unknown
24,Kiwi Condos,L8R 0A7,11651,86,266,14,542-800,2.081,553,0.0074,4.775,Unknown,Unknown
25,Phoenix Condos,L5B 3Y4,67131,855,344,27,954-1448,2.458,845,0.0127,11.38,Unknown,Unknown
26,Onyx Condos,L5B 0E8,67131,855,353,35,532-1368,2.458,868,0.0127,11.0,Unknown,Unknown
27,Ovation,L5B 4P5,67131,855,466,31,584-3308,2.458,1145,0.0127,14.585,Unknown,Unknown
28,Ovation II,L5B 4P5,67131,855,471,31,578-1859,2.458,1158,0.0127,14.775,Unknown,Unknown
29,Ambleside One,L5H 1N7,17409,753,314,25,500-800,2.776,872,0.0433,35.145,Unknown,Unknown
30,Ambleside Two,K2B 8E1,33254,381,308,26,600-1000,2.212,681,0.0115,8.3,Unknown,Unknown
31,Ambleside III,K2B 8G6,33254,381,181,12,600-800,2.212,400,0.0115,4.955,Unknown,Unknown
32,90 George St,K1N 0A8,26639,302,116,18,900-1800,1.84,213,0.0113,2.73,Unknown,Unknown
33,10 Markbrook,M9V 5E3,53878,358,220,19,973-1223,3.235,712,0.0066,5.795,Unknown,Unknown
34,EVOLV,M5A 1X9,48978,630,346,29,360-805,1.793,620,0.0129,8.3,Unknown,Unknown
35,Elm-Ledbury,M5B 1B2,17422,145,542,29,360-1291,1.652,895,0.0083,8.46,Unknown,Unknown
36,Sloane,M6A 2V1,22380,211,750,29,357-1469,2.429,1822,0.0094,15.06,Unknown,Unknown
37,Waverley,M5S 2H1,17074,165,166,16,349-1392,1.893,314,0.0097,3.26,Unknown,Unknown
38,44 Charles West,M4Y 1R7,36319,288,793,51,471-1227,1.598,1267,0.0079,10.57,Unknown,Unknown
39,Bridge,M4L 0B7,32218,521,367,17,453-1120,2.343,860,0.0162,13.33,Unknown,Unknown
40,The Markwood,M9C 1L7,38725,481,223,9,391-978,2.529,564,0.0124,6.43,Unknown,Unknown
41,Maple House,M5A 3C4,48978,630,773,16,483-1332,1.793,1386,0.0129,16.32,Unknown,Unknown
42,The Selby,M4Y 0E6,36319,288,509,50,512-1328,1.598,813,0.0079,6.955,Unknown,Unknown
43,Balliol Park,M4S 0A9,30754,770,521,30,432-956,1.956,1019,0.025,25.71,Unknown,Unknown
44,Lakeview Towers,M6K 2V4,42110,388,293,23,510-673,1.853,543,0.0092,5.675,Unknown,Unknown
45,Bayview Mews,M2K 1E8,25377,627,305,3,782-1480,2.171,662,0.0247,20.0,Unknown,Unknown
46,Birch House,M5A 0Y1,48978,630,238,11,384-1332,1.793,427,0.0129,5.16,Unknown,Unknown
47,The Fairbank,M6E 0B3,37684,271,141,8,460-1035,2.331,329,0.0072,3.025,Unknown,Unknown
48,E18HTEEN,M4P 0C9,25057,378,315,35,460-985,1.793,565,0.0151,8.635,Unknown,Unknown
